x utau delta99 delta* theta beta Ue Reth 
4.18945312e+02 4.04558442e-02 1.41708768e+01 3.13047317e+00 1.95991812e+00 1.05116277e+00 9.06268295e-01 7.99295243e+02
4.20410156e+02 4.03717449e-02 1.42285230e+01 3.15072246e+00 1.97281853e+00 1.06256583e+00 9.05377524e-01 8.03765501e+02
4.21875000e+02 4.02876859e-02 1.42849244e+01 3.16766998e+00 1.98240515e+00 1.07131772e+00 9.04486352e-01 8.06876279e+02
4.23339844e+02 4.02028779e-02 1.43407735e+01 3.18476683e+00 1.99206408e+00 1.08007934e+00 9.03602951e-01 8.10015742e+02
4.24804688e+02 4.01176086e-02 1.43960659e+01 3.20200805e+00 2.00179059e+00 1.08886077e+00 9.02727209e-01 8.13181872e+02
4.26269531e+02 4.00314935e-02 1.44508220e+01 3.21939035e+00 2.01158191e+00 1.09761378e+00 9.01859159e-01 8.16373607e+02
4.27734375e+02 3.99434178e-02 1.45051191e+01 3.23691685e+00 2.02144074e+00 1.10645235e+00 9.00999342e-01 8.19592549e+02
4.29199219e+02 3.98543226e-02 1.45589901e+01 3.25458599e+00 2.03136837e+00 1.11531714e+00 9.00147921e-01 8.22839408e+02
4.30664062e+02 3.97679563e-02 1.46161605e+01 3.27556935e+00 2.04463284e+00 1.12646304e+00 8.99277457e-01 8.27411501e+02
4.32128906e+02 3.96848112e-02 1.46735627e+01 3.29297853e+00 2.05442157e+00 1.13463365e+00 8.98384741e-01 8.30547446e+02
4.33593750e+02 3.96040212e-02 1.47302847e+01 3.31052500e+00 2.06427975e+00 1.14261975e+00 8.97500007e-01 8.33710992e+02
4.35058594e+02 3.95257126e-02 1.47863824e+01 3.32821028e+00 2.07420452e+00 1.15040417e+00 8.96623606e-01 8.36901331e+02
4.36523438e+02 3.94472810e-02 1.48419058e+01 3.34603288e+00 2.08419064e+00 1.15807929e+00 8.95755688e-01 8.40116531e+02
4.37988281e+02 3.93677367e-02 1.48969160e+01 3.36399297e+00 2.09423652e+00 1.16572724e+00 8.94896523e-01 8.43356240e+02
4.39453125e+02 3.92875555e-02 1.49514608e+01 3.38209346e+00 2.10434359e+00 1.17343081e+00 8.94046596e-01 8.46621551e+02
4.40917969e+02 3.92075705e-02 1.50076165e+01 3.40376071e+00 2.11793245e+00 1.18376705e+00 8.93200803e-01 8.51282535e+02
4.42382812e+02 3.91278459e-02 1.50660458e+01 3.42161654e+00 2.12789411e+00 1.19114534e+00 8.92314805e-01 8.54438136e+02
4.43847656e+02 3.90464922e-02 1.51237759e+01 3.43960068e+00 2.13791275e+00 1.19867662e+00 8.91437210e-01 8.57616741e+02
4.45312500e+02 3.89640699e-02 1.51808932e+01 3.45771554e+00 2.14799125e+00 1.20629039e+00 8.90568459e-01 8.60819966e+02
4.46777344e+02 3.88814614e-02 1.52374328e+01 3.47596158e+00 2.15813061e+00 1.21380032e+00 8.89708847e-01 8.64048554e+02
4.48242188e+02 3.87975393e-02 1.52934284e+01 3.49433653e+00 2.16833013e+00 1.22131887e+00 8.88858451e-01 8.67302355e+02
4.49707031e+02 3.87134684e-02 1.53490078e+01 3.51284927e+00 2.17859700e+00 1.22886143e+00 8.88018168e-01 8.70585174e+02
4.51171875e+02 3.86317257e-02 1.54043744e+01 3.53152041e+00 2.18894450e+00 1.23621087e+00 8.87189770e-01 8.73904127e+02
4.52636719e+02 3.85536271e-02 1.54648117e+01 3.55346554e+00 2.20265825e+00 1.24594527e+00 8.86332176e-01 8.78529098e+02
4.54101562e+02 3.84771287e-02 1.55241433e+01 3.57186757e+00 2.21286386e+00 1.25269112e+00 8.85469432e-01 8.81740488e+02
4.55566406e+02 3.83988412e-02 1.55826914e+01 3.59038481e+00 2.22311881e+00 1.25958127e+00 8.84615365e-01 8.84972274e+02
4.57031250e+02 3.83186336e-02 1.56405358e+01 3.60902148e+00 2.23342429e+00 1.26650581e+00 8.83770497e-01 8.88225523e+02
4.58496094e+02 3.82367820e-02 1.56977909e+01 3.62778357e+00 2.24378357e+00 1.27344979e+00 8.82935489e-01 8.91502266e+02
4.59960938e+02 3.81524662e-02 1.57545290e+01 3.64667172e+00 2.25419780e+00 1.28052025e+00 8.82110635e-01 8.94803333e+02
4.61425781e+02 3.80666046e-02 1.58108737e+01 3.66569340e+00 2.26467421e+00 1.28770352e+00 8.81296709e-01 8.98132469e+02
4.62890625e+02 3.79821595e-02 1.58707945e+01 3.68817098e+00 2.27863085e+00 1.29775489e+00 8.80469521e-01 9.02819254e+02
4.64355469e+02 3.79002075e-02 1.59310522e+01 3.70689079e+00 2.28895431e+00 1.30446313e+00 8.79622397e-01 9.06036967e+02
4.65820312e+02 3.78209654e-02 1.59903369e+01 3.72570123e+00 2.29932231e+00 1.31103937e+00 8.78783161e-01 9.09272577e+02
4.67285156e+02 3.77442670e-02 1.60488085e+01 3.74461026e+00 2.30973824e+00 1.31736286e+00 8.77952562e-01 9.12528272e+02
4.68750000e+02 3.76675101e-02 1.61066014e+01 3.76362672e+00 2.32020446e+00 1.32362116e+00 8.77131399e-01 9.15805881e+02
4.70214844e+02 3.75897673e-02 1.61638349e+01 3.78275916e+00 2.33072455e+00 1.32999283e+00 8.76320444e-01 9.19107707e+02
4.71679688e+02 3.75123022e-02 1.62206000e+01 3.80201492e+00 2.34130311e+00 1.33616836e+00 8.75520379e-01 9.22436364e+02
4.73144531e+02 3.74370658e-02 1.62791960e+01 3.82493079e+00 2.35548611e+00 1.34511936e+00 8.74723721e-01 9.27179810e+02
4.74609375e+02 3.73645484e-02 1.63397789e+01 3.84385199e+00 2.36589165e+00 1.35066245e+00 8.73891295e-01 9.30389454e+02
4.76074219e+02 3.72927634e-02 1.63994873e+01 3.86286713e+00 2.37634086e+00 1.35610522e+00 8.73067567e-01 9.33617761e+02
4.77539062e+02 3.72203725e-02 1.64583635e+01 3.88197267e+00 2.38682934e+00 1.36151400e+00 8.72252475e-01 9.36863010e+02
4.79003906e+02 3.71471442e-02 1.65165340e+01 3.90117950e+00 2.39736201e+00 1.36694545e+00 8.71446917e-01 9.40128179e+02
4.80468750e+02 3.70727950e-02 1.65741228e+01 3.92049841e+00 2.40794483e+00 1.37247972e+00 8.70651782e-01 9.43416657e+02
