x utau delta99 delta* theta beta Ue Reth 
3.50097656e+02 4.58862772e-02 1.15435591e+01 2.28828882e+00 1.46794349e+00 3.67438696e-01 9.56258797e-01 6.31680242e+02
3.51562500e+02 4.58215163e-02 1.15812824e+01 2.29802755e+00 1.47396363e+00 3.72875863e-01 9.55749910e-01 6.33933274e+02
3.53027344e+02 4.57582804e-02 1.16188286e+01 2.30785518e+00 1.48003347e+00 3.78297476e-01 9.55241511e-01 6.36205232e+02
3.54492188e+02 4.56955271e-02 1.16561472e+01 2.31776760e+00 1.48614810e+00 3.83763478e-01 9.54733248e-01 6.38493753e+02
3.55957031e+02 4.56315039e-02 1.16932589e+01 2.32776616e+00 1.49230628e+00 3.89279728e-01 9.54225319e-01 6.40798395e+02
3.57421875e+02 4.55661135e-02 1.17341528e+01 2.34091071e+00 1.50165930e+00 3.95797199e-01 9.53679017e-01 6.44445433e+02
3.58886719e+02 4.55007416e-02 1.17739664e+01 2.35072477e+00 1.50770985e+00 4.01292393e-01 9.53120734e-01 6.46663284e+02
3.60351562e+02 4.54361025e-02 1.18136686e+01 2.36064178e+00 1.51382273e+00 4.06824694e-01 9.52564119e-01 6.48905947e+02
3.61816406e+02 4.53729640e-02 1.18532706e+01 2.37066206e+00 1.51999861e+00 4.12369661e-01 9.52009285e-01 6.51173756e+02
3.63281250e+02 4.53113046e-02 1.18927516e+01 2.38078172e+00 1.52623342e+00 4.17895816e-01 9.51455958e-01 6.53464747e+02
3.64746094e+02 4.52509718e-02 1.19320807e+01 2.39099764e+00 1.53252275e+00 4.23400860e-01 9.50903929e-01 6.55776856e+02
3.66210938e+02 4.51915362e-02 1.19712731e+01 2.40131169e+00 1.53886525e+00 4.28887967e-01 9.50353461e-01 6.58109661e+02
3.67675781e+02 4.51311161e-02 1.20103540e+01 2.41172655e+00 1.54526006e+00 4.34396372e-01 9.49804899e-01 6.60463008e+02
3.69140625e+02 4.50688640e-02 1.20492883e+01 2.42223944e+00 1.55170418e+00 4.39955440e-01 9.49258068e-01 6.62835470e+02
3.70605469e+02 4.50050122e-02 1.20880310e+01 2.43284566e+00 1.55819446e+00 4.45578503e-01 9.48712614e-01 6.65225432e+02
3.72070312e+02 4.49397714e-02 1.21295775e+01 2.44678261e+00 1.56800738e+00 4.52378768e-01 9.48148059e-01 6.69016418e+02
3.73535156e+02 4.48748124e-02 1.21712590e+01 2.45719643e+00 1.57438509e+00 4.58003525e-01 9.47553717e-01 6.71316499e+02
3.75000000e+02 4.48105715e-02 1.22128357e+01 2.46771918e+00 1.58082526e+00 4.63614321e-01 9.46961951e-01 6.73641617e+02
3.76464844e+02 4.47463623e-02 1.22542922e+01 2.47834985e+00 1.58732589e+00 4.69184096e-01 9.46372785e-01 6.75990910e+02
3.77929688e+02 4.46820711e-02 1.22955845e+01 2.48908389e+00 1.59388297e+00 4.74785157e-01 9.45785920e-01 6.78362432e+02
