x utau delta99 delta* theta beta Ue Reth 
3.89648438e+02 4.10789889e-02 1.34626311e+01 2.91919017e+00 1.83596858e+00 8.85305586e-01 9.05496819e-01 7.48108670e+02
3.91113281e+02 4.09954389e-02 1.35133697e+01 2.93453684e+00 1.84482425e+00 8.95033027e-01 9.04677004e-01 7.51036533e+02
3.92578125e+02 4.09143976e-02 1.35638289e+01 2.95004775e+00 1.85376137e+00 9.04722633e-01 9.03862656e-01 7.53995555e+02
3.94042969e+02 4.08342651e-02 1.36140676e+01 2.96572701e+00 1.86278036e+00 9.14319950e-01 9.03054257e-01 7.56986278e+02
3.95507812e+02 4.07532237e-02 1.36641140e+01 2.98157821e+00 1.87188054e+00 9.24048427e-01 9.02252262e-01 7.60008803e+02
3.96972656e+02 4.06705929e-02 1.37180569e+01 3.00070649e+00 1.88429945e+00 9.35974547e-01 9.01417364e-01 7.64343109e+02
3.98437500e+02 4.05871246e-02 1.37714727e+01 3.01633858e+00 1.89326265e+00 9.45706851e-01 9.00565192e-01 7.67252899e+02
3.99902344e+02 4.05031489e-02 1.38244500e+01 3.03213109e+00 1.90230551e+00 9.55385924e-01 8.99718016e-01 7.70192343e+02
4.01367188e+02 4.04186434e-02 1.38770759e+01 3.04809207e+00 1.91143345e+00 9.65277825e-01 8.98876652e-01 7.73164305e+02
4.02832031e+02 4.03339531e-02 1.39292049e+01 3.06420845e+00 1.92063755e+00 9.75332752e-01 8.98040264e-01 7.76164435e+02
4.04296875e+02 4.02490854e-02 1.39806908e+01 3.08046306e+00 1.92990326e+00 9.85393001e-01 8.97207693e-01 7.79185825e+02
4.05761719e+02 4.01643443e-02 1.40317461e+01 3.09686942e+00 1.93923682e+00 9.95449318e-01 8.96380232e-01 7.82232098e+02
4.07226562e+02 4.00788728e-02 1.40826394e+01 3.11345488e+00 1.94865388e+00 1.00557018e+00 8.95560208e-01 7.85311594e+02
4.08691406e+02 3.99912244e-02 1.41378362e+01 3.13338929e+00 1.96145241e+00 1.01808411e+00 8.94710567e-01 7.89719490e+02
4.10156250e+02 3.99024437e-02 1.41927846e+01 3.14978930e+00 1.97075121e+00 1.02831261e+00 8.93845861e-01 7.92696517e+02
4.11621094e+02 3.98149805e-02 1.42474103e+01 3.16636868e+00 1.98014138e+00 1.03855566e+00 8.92988224e-01 7.95709319e+02
4.13085938e+02 3.97294494e-02 1.43017600e+01 3.18313346e+00 1.98962624e+00 1.04869544e+00 8.92138278e-01 7.98759778e+02
4.14550781e+02 3.96453714e-02 1.43556909e+01 3.20006768e+00 1.99919475e+00 1.05879853e+00 8.91294977e-01 8.01842506e+02
4.16015625e+02 3.95618363e-02 1.44091587e+01 3.21716021e+00 2.00883804e+00 1.06907200e+00 8.90457697e-01 8.04953381e+02
4.17480469e+02 3.94773269e-02 1.44621896e+01 3.23440539e+00 2.01855098e+00 1.07946456e+00 8.89626235e-01 8.08090159e+02
4.18945312e+02 3.93922811e-02 1.45148363e+01 3.25180556e+00 2.02833590e+00 1.08982873e+00 8.88800958e-01 8.11254100e+02
4.20410156e+02 3.93067140e-02 1.45726585e+01 3.27250445e+00 2.04150614e+00 1.10276119e+00 8.87937424e-01 8.15728365e+02
4.21875000e+02 3.92205982e-02 1.46294095e+01 3.28968795e+00 2.05116440e+00 1.11305022e+00 8.87067595e-01 8.18784662e+02
4.23339844e+02 3.91339847e-02 1.46855365e+01 3.30702785e+00 2.06089711e+00 1.12344512e+00 8.86203672e-01 8.21868563e+02
4.24804688e+02 3.90465803e-02 1.47412102e+01 3.32453946e+00 2.07071440e+00 1.13390886e+00 8.85346940e-01 8.24985294e+02
4.26269531e+02 3.89587196e-02 1.47964712e+01 3.34222773e+00 2.08061503e+00 1.14438996e+00 8.84497899e-01 8.28134830e+02
4.27734375e+02 3.88694392e-02 1.48513701e+01 3.36009428e+00 2.09059638e+00 1.15500232e+00 8.83656798e-01 8.31316366e+02
4.29199219e+02 3.87795996e-02 1.49059128e+01 3.37813849e+00 2.10065949e+00 1.16576170e+00 8.82823733e-01 8.34530426e+02
4.30664062e+02 3.86911110e-02 1.49618257e+01 3.39991937e+00 2.11435637e+00 1.17914992e+00 8.81994179e-01 8.39182506e+02
4.32128906e+02 3.86046297e-02 1.50202037e+01 3.41769860e+00 2.12426420e+00 1.18957499e+00 8.81115454e-01 8.42274906e+02
